date,close,adj_close,volume
2019-12-06,83.63999938964844,83.63999938964844,326300
2019-12-09,82.9800033569336,82.9800033569336,350000
2019-12-10,81.36000061035156,81.36000061035156,255000
2019-12-11,81.72000122070312,81.72000122070312,275600
2019-12-12,83.12999725341797,83.12999725341797,293300
2019-12-13,82.0999984741211,82.0999984741211,223000
2019-12-16,82.80999755859375,82.80999755859375,230600
2019-12-17,82.86000061035156,82.86000061035156,209900
2019-12-18,82.4800033569336,82.4800033569336,458200
2019-12-19,86.63999938964844,86.63999938964844,896300
2019-12-20,88.05000305175781,88.05000305175781,773100
2019-12-23,87.45999908447266,87.45999908447266,394000
2019-12-24,87.72000122070312,87.72000122070312,86600
2019-12-26,88.62000274658203,88.62000274658203,215900
2019-12-27,88.48999786376953,88.48999786376953,267200
2019-12-30,89.62999725341797,89.62999725341797,283900
2019-12-31,89.52999877929688,89.52999877929688,386200
2020-01-02,88.94000244140625,88.94000244140625,463600
2020-01-03,88.63999938964844,88.63999938964844,268200
2020-01-06,88.55999755859375,88.55999755859375,294700
2020-01-07,89.7300033569336,89.7300033569336,322800
2020-01-08,90.05000305175781,90.05000305175781,443300
2020-01-09,89.94000244140625,89.94000244140625,317300
2020-01-10,89.86000061035156,89.86000061035156,308200
2020-01-13,90.25,90.25,299700
2020-01-14,91.43000030517578,91.43000030517578,403900
2020-01-15,90.45999908447266,90.45999908447266,262100
2020-01-16,90.62999725341797,90.62999725341797,227400
2020-01-17,90.45999908447266,90.45999908447266,346700
2020-01-21,87.62000274658203,87.62000274658203,329600
2020-01-22,86.48999786376953,86.48999786376953,721300
2020-01-23,85.06999969482422,85.06999969482422,789200
2020-01-24,83.66000366210938,83.66000366210938,358600
2020-01-27,83.02999877929688,83.02999877929688,508400
2020-01-28,84.08999633789062,84.08999633789062,402700
2020-01-29,84.80000305175781,84.80000305175781,538300
2020-01-30,77.70999908447266,77.70999908447266,1936400
2020-01-31,73.29000091552734,73.29000091552734,1494700
2020-02-03,72.08999633789062,72.08999633789062,857800
2020-02-04,71.79000091552734,71.79000091552734,900100
2020-02-05,75.31999969482422,75.31999969482422,1062500
2020-02-06,73.63999938964844,73.63999938964844,567900
